@relation kredyty-30-dniowe-weka.filters.unsupervised.attribute.StringToNominal-R1-weka.filters.unsupervised.attribute.StringToNominal-R4-weka.filters.unsupervised.attribute.Remove-R1

@attribute kwoty-kredytu numeric
@attribute wiek numeric
@attribute plec {K,M}
@attribute rodzaj-zrodla-dochodu numeric
@attribute miesieczny-dochod-netto numeric
@attribute ktore-rolowanie numeric
@attribute okres-w-jakim-pobieral�-dochod numeric
@attribute okres-w-jakim-bedzie-pobierac�-dochod numeric
@attribute opoznione-splaty numeric

@data
200,53,K,12,984.34,1,15,21,0
200,70,K,13,907,0,231,48,0
385.97,54,K,11,1721.7,2,117,48,0
300,59,M,16,726,2,230,48,336
300,60,K,13,936,2,28,48,0
500,56,M,13,1900,2,147,48,0
400,57,K,13,1817.24,0,15,48,0
850,69,M,16,1100,2,134,48,190
400,56,K,11,1730.13,0,190,48,1
337.64,35,K,11,2709.34,2,178,48,0
300,61,K,13,1399.99,0,12,48,1
400,44,M,12,1963.88,1,3,6,0
600,61,K,13,1050,2,136,48,0
520.7,24,M,17,926,2,53,48,400
356.68,24,M,17,926,2,53,48,400
600,43,K,11,1443,2,31,48,1
200,64,M,16,650.77,0,45,48,3
300,60,K,13,784,1,36,48,2071
300,30,M,11,1000,2,54,48,3
300,60,K,13,1026,2,52,48,11
200,57,M,11,1500,1,392,48,1
200,70,M,13,1420,1,50,48,0
400,65,M,13,1217,0,48,48,0
400,53,K,16,1362,2,26,48,0
300,28,K,11,901,1,37,48,0
400,69,M,13,3181,0,48,48,0
500,64,M,13,1530,2,32,48,5
200,31,K,12,980,2,7,11,1
300,44,M,11,3217,0,267,48,0
700,65,M,13,3040,2,198,48,0
200,56,K,17,1100,0,24,34,0
200,51,K,11,932.34,2,392,48,0
300,23,M,11,1400,0,22,48,0
450,68,M,13,2000,2,42,48,1
200,55,K,11,1077,2,180,48,0
300,70,K,13,865,2,125,48,0
200,57,K,11,983.97,0,75,48,0
300,45,K,11,1344.9,1,43,48,4
400,60,K,13,1107,0,12,48,0
200,48,K,11,967.64,1,316,48,4
500,60,M,11,2100,1,184,48,1
200,71,K,13,722.05,1,194,48,0
300,46,K,98,911,2,95,48,0
300,26,K,12,1300,1,5,12,0
300,22,K,12,1500,1,1,3,0
300,52,K,11,1400,2,158,48,5
600,80,M,13,2547,0,193,48,0
300,58,M,16,1528,0,372,48,6
300,49,K,11,992.84,2,118,48,0
600,59,K,13,1400,2,243,48,0
250,70,K,13,1294,0,120,48,0
200,53,K,99,1100,1,49,48,0
800,54,M,13,2800,1,147,48,0
300,75,M,13,1150,0,135,48,28
300,63,M,13,2040,1,141,48,14
400,65,K,13,1125,0,122,48,0
300,73,M,13,960,2,137,48,7
300,64,M,13,1374.08,0,69,48,1
662.69,30,M,11,2837,0,123,48,21
400,65,K,13,1175,0,112,48,0
300,55,K,16,1072.89,2,119,48,0
300,49,M,12,1042,1,2,3,12
200,37,K,12,1382,1,18,24,0
200,41,K,11,1037.34,2,59,48,0
200,78,K,13,1239.98,0,252,48,0
400,47,K,98,2200,2,22,48,0
396.61,61,M,13,1500,2,20,48,1
300,57,K,16,634.64,1,133,48,0
300,63,K,13,1014,0,180,48,7
200,47,K,11,1493.98,1,358,48,0
300,46,K,12,1032,2,35,41,3
380.59,40,K,17,646,0,51,48,2067
820.86,42,M,11,2100,1,281,48,334
356.29,57,K,13,782,0,189,48,209
800,56,K,13,580,2,116,48,2
200,37,K,12,599.03,1,16,19,5
300,70,K,13,1000,1,61,48,0
800,55,K,13,3440,2,48,48,6
400,38,K,11,800.51,1,17,48,13
499.98,35,M,11,2200,2,82,48,18
600,49,K,11,2500,1,230,48,0
600,29,M,12,1300,2,24,42,6
300,54,M,17,798.8,2,146,48,6
400,65,M,16,1473.04,1,162,48,3
500,61,M,11,1250,2,62,48,14
300,62,K,13,750,0,28,48,0
300,66,M,13,2110,2,98,48,0
400,59,K,13,930,1,29,48,436
231.22,52,M,12,1000,2,9,40,437
300,59,K,13,1658,2,26,48,1
200,53,K,16,749.28,2,62,48,2
250,70,K,13,1016,0,186,48,0
600,51,K,11,3200,2,51,48,1
500,32,K,11,3100,2,118,48,0
400,37,K,11,2700,2,118,48,0
393.99,59,M,11,2947,2,50,48,3
300,33,M,11,2100,2,61,48,9
400,68,K,16,980,2,128,48,1
412.72,33,K,11,1400,1,98,48,9
694,38,K,11,1900,2,205,48,3
200,37,M,12,950,1,4,15,2064
328,60,M,12,1000,2,9,11,4
328.32,50,K,12,1000,2,29,30,4
500,62,K,13,1900,2,85,48,1
600,56,M,11,3335,2,430,48,2
377.69,40,K,11,1087,1,235,48,5
700,61,K,13,2066,2,126,48,1
253.12,61,K,13,975,2,24,48,3
500,61,M,11,2250.05,0,173,48,1
300,65,M,12,1100,2,19,36,1
700,61,K,13,1977,0,52,48,3
200,68,K,13,1134.96,2,160,48,16
200,63,M,13,1287.66,1,95,48,2
200,63,M,13,1538,2,99,48,3
300,71,M,13,1426,2,76,48,0
300,56,K,98,980,1,8,48,1
300,45,M,12,670,2,8,12,0
500,43,M,98,3178,2,200,48,2
517.26,58,K,13,1801.41,2,36,48,10
200,74,K,13,1026,2,246,48,1
200,71,K,13,1185.33,2,223,48,0
900,33,K,11,2200,0,36,48,0
200,74,M,13,957.2,1,196,48,264
336.83,67,K,13,815,1,143,48,0
400,64,K,13,840,0,112,48,0
285.97,38,K,98,1200,2,44,48,2
200,31,K,12,1032.34,2,3,11,0
300,39,K,12,1027,2,7,48,5
277.34,39,K,11,1770,2,85,48,1
800,62,K,13,3700,2,25,48,0
400,42,M,11,3500,2,26,48,139
200,54,K,11,1400,2,115,48,1
300,46,K,11,763,2,91,48,1
200,58,K,13,1083.23,0,95,48,1
500,62,M,13,1272,1,14,48,270
250,62,M,99,685,2,4,3,4
200,78,M,13,1519,0,252,48,0
200,68,K,13,803.86,2,156,48,1
400,63,M,13,1193.65,1,7,48,1
200,46,M,11,1566.82,0,347,48,0
200,66,K,13,1031,0,119,48,0
400,60,K,13,1149.06,1,159,48,47
400,73,K,13,1412,2,202,48,19
381.29,66,M,13,1591,2,74,48,12
200,64,K,16,755.1,1,132,48,12
327,52,K,11,2065.98,2,178,48,7
300,28,M,12,1400,1,7,24,5
800,35,M,12,1500,0,32,36,0
789.27,63,K,13,860,2,78,48,11
400,54,K,11,2800,2,58,48,3
200,79,K,13,1167.94,0,367,48,0
700,72,M,13,2802,2,245,48,307
200,50,M,16,1045,1,197,48,0
500,58,M,17,1485,2,141,48,2059
300,39,M,11,1300,2,43,48,0
200,62,M,13,1162,2,220,48,2
300,67,K,13,1094,1,182,48,4
200,60,K,13,1635,2,118,48,0
300,63,K,13,917,0,74,48,0
600,68,K,13,2120,2,117,48,3
200,62,K,13,985.9,0,88,48,292
400,62,M,16,1313.41,2,26,48,0
400,63,K,13,1233,1,121,48,0
300,65,M,13,1611,0,139,48,3
200,57,M,13,819,0,55,48,0
500,62,K,13,714,3,220,48,1
500,45,K,11,3000,2,91,48,0
470.41,66,K,13,919,2,139,48,430
600,41,K,98,5000,1,82,48,7
250,40,M,12,700,2,7,24,8
500,73,K,13,951,2,160,48,1
400,65,K,13,1013.74,2,111,48,1
400,58,K,11,1500,1,83,48,1
300,38,K,11,1200,2,188,48,2057
521.49,62,K,13,1525.46,2,34,48,0
700,61,K,13,5100,2,26,48,0
200,24,M,11,2327.94,0,33,48,0
241.15,54,M,12,1030,2,7,24,5
600,46,M,11,2000,0,49,48,0
900,55,K,16,2300,3,61,48,0
400,40,K,12,660,2,10,38,3
300,55,K,12,1009.34,1,27,48,2
200,51,M,12,1030,2,7,48,11
400,56,M,12,1600,0,33,48,0
400,60,K,13,1425,0,77,48,1
281.29,55,K,12,1350,2,20,25,1
200,24,M,12,1000,3,10,25,8
600,54,K,12,1675,2,7,12,2
700,28,M,12,1800,2,9,9,0
200,64,K,13,856,2,55,48,1
300,39,M,11,2700,1,7,48,0
300,66,M,13,1300,1,76,48,345
400,61,K,13,1684,2,18,48,1
200,57,M,11,1800,0,159,48,0
498.47,31,K,12,1600,2,12,13,1
200,75,K,13,616,2,244,48,1
200,61,K,13,984,1,9,48,0
275.97,41,K,11,1000,2,59,48,8
445.67,47,M,12,1574.45,1,29,36,1
300,54,M,11,1700,2,37,48,4
600,47,K,12,830.46,1,43,48,1
200,58,K,16,634,1,49,48,0
200,75,K,13,1160,0,209,48,0
200,58,K,13,1500,2,44,48,0
250,64,M,16,633.56,2,109,48,2054
200,73,M,13,910.33,2,161,48,8
227.13,53,K,12,2000,2,7,26,2
200,57,K,16,703,2,24,48,1
900,58,K,17,684,2,188,48,1
500,72,K,13,640,0,137,48,1
200,75,K,13,965,2,243,48,1
200,65,K,13,802.83,2,199,48,4
400,66,K,13,1137.19,2,94,48,0
800,60,M,11,1000,2,61,48,3
350,64,M,13,1601.87,1,43,48,10
300,77,K,13,1239,2,268,48,1
200,59,K,13,1100,1,41,48,0
400,40,M,11,1261.98,2,34,48,0
300,73,K,16,1138.01,0,5,48,2053
350,61,M,16,837,1,229,48,0
200,46,K,12,990.34,1,54,48,0
800,65,K,13,930,3,129,48,0
400,47,K,11,3170,2,283,48,0
400,47,M,12,600,3,7,27,1
300,26,M,11,1459,0,7,48,5
300,62,K,13,1130,2,101,48,3
200,52,K,16,906.07,0,10,48,263
300,25,M,12,1400,1,10,33,1
300,45,M,11,2100,1,48,48,1
235.97,66,K,13,1428.55,2,135,48,0
500,53,K,16,655,2,29,48,152
300,33,M,11,1800,2,163,48,1
400,62,K,13,1474.55,1,63,48,0
200,52,K,11,1617.68,1,83,48,5
500,63,M,13,1768.93,2,267,48,2053
200,49,M,11,1400,2,12,48,1
900,47,K,11,5800,2,52,48,0
265.58,62,K,13,1189,2,68,48,0
400,56,K,11,1172.2,2,35,48,2
500,63,K,16,1340,2,159,48,6
200,62,M,13,1672.59,1,20,48,0
350,53,K,17,1031,1,49,48,6
500,60,K,13,1000,2,66,48,2
400,57,K,13,1817.24,1,16,48,0
900,58,M,11,1510,2,165,48,151
300,61,K,13,997,2,77,48,0
500,60,K,13,1212,2,53,48,0
300,57,K,11,1680,2,383,48,2
200,67,K,13,720.19,0,91,48,0
600,47,K,11,1700,2,87,48,2
200,79,K,13,1442.43,3,139,48,0
600,58,K,11,1400,2,161,48,188
600,49,K,11,2800,2,317,48,3
369.53,72,K,13,3541.9,0,126,48,2
500,27,K,11,2100,1,21,48,0
600,32,K,11,1290,2,17,48,2
300,39,M,12,1884.29,0,18,24,0
200,72,K,13,730,1,559,48,0
400,43,M,11,2284.23,0,298,48,0
200,69,K,16,959.6,2,113,48,0
200,29,M,99,1393.85,1,3,3,1
717.26,64,M,13,2010,1,137,48,1
200,57,M,13,12220,1,69,48,1
500,65,K,16,892,1,199,48,0
200,46,M,11,1360,3,118,48,0
295.97,52,K,12,1050,1,32,36,0
300,35,K,12,1200,2,7,14,0
300,65,K,13,1210,1,136,48,26
700,52,M,11,3200,2,187,48,0
450,54,K,16,1045.6,3,10,48,0
300,65,K,13,1350,1,109,48,3
600,48,M,11,1800,2,124,48,2050
500,57,K,11,2249.14,2,239,48,18
200,72,K,13,785,2,62,48,0
300,46,M,13,1688.82,1,97,48,2
300,23,M,11,1400,0,23,48,0
400,53,M,11,4000,3,8,48,1
300,30,M,12,1037.34,1,18,24,0
300,19,M,99,750,2,2,6,0
300,57,K,13,611,1,137,48,1
700,75,M,13,2098,2,195,48,0
500,72,M,13,1700,2,12,48,2
300,69,M,13,940,2,51,48,2050
500,51,K,11,1700,2,304,48,4
400,56,M,11,1842.86,1,6,48,0
300,49,M,13,3900,3,28,48,0
426.61,49,K,11,2470,3,352,48,0
500,53,M,11,1320,2,340,48,0
400,39,K,11,1239.05,0,202,48,7
400,64,M,13,1261.6,2,51,48,368
700,37,M,12,3000,0,6,10,34
300,58,K,13,1240,3,68,48,0
500,60,K,13,936,0,29,48,0
200,74,K,13,1026,3,245,48,0
400,44,M,12,1952.35,2,2,12,0
300,43,K,11,1400,3,23,48,4
400,61,K,13,1170,1,76,48,0
300,48,K,11,1077.49,2,370,48,0
496.61,38,K,11,2927,1,199,48,0
800,57,M,12,2500,1,3,3,1
200,20,M,17,985,3,11,12,0
400,61,K,13,1090.14,2,73,48,0
649.84,57,K,11,1680,3,68,48,0
238.78,53,K,11,1700,3,203,48,0
500,69,K,13,1072,3,151,48,5
300,70,K,13,729.03,3,255,48,0
200,63,K,16,1389,2,89,48,0
381.29,70,K,13,1291.18,3,77,48,0
200,57,M,16,763.38,2,209,48,0
900,59,K,13,1370,2,74,48,11
500,53,M,11,2080,3,316,48,15
300,60,M,11,3000,3,210,48,0
200,30,K,11,1373.34,0,56,48,0
200,25,K,17,1200,3,163,48,1
300,52,K,16,685,1,39,48,0
400,66,K,13,850,2,65,48,1
400,54,K,12,1700,3,54,48,0
500,50,K,17,990,3,70,48,13
600,35,K,11,2400,2,111,48,6
296.54,34,M,12,1030,0,3,24,2045
500,67,M,16,1600,1,10,48,0
500,29,K,12,1447,3,20,24,4
300,60,K,13,810,3,31,48,4
400,54,K,11,2368.57,1,408,48,6
378,27,K,11,1500,0,22,48,9
300,45,M,12,1375.47,0,5,8,0
500,50,K,11,4900,1,9,48,0
200,68,K,13,1017,3,159,48,0
600,55,M,16,588,3,420,48,0
200,28,M,12,1136.86,1,10,24,2045
200,66,K,13,910,3,68,48,0
300,22,K,12,1634,1,10,11,3
900,47,M,11,2500,2,202,48,11
200,66,K,13,1216,3,139,48,0
400,61,K,13,1280,3,15,48,0
600,54,K,11,1300,0,66,48,8
450,31,M,11,2700,3,13,48,18
500,59,K,13,1400,2,52,48,1
575.74,32,M,11,2050,3,116,48,7
500,58,M,16,1770,3,87,48,0
300,31,K,12,1865,0,18,22,3
382.44,29,M,11,1888.27,2,75,48,16
300,50,M,12,1000,0,41,48,0
385.97,54,K,11,1721.7,3,118,48,1
700,58,K,13,1872,3,33,48,3
330.68,35,K,11,2709.34,3,179,48,0
400,64,K,13,1015,3,107,48,2
200,53,K,12,984.34,2,16,21,0
300,78,K,13,1239.98,0,253,48,0
400,62,K,13,1200.29,0,20,48,0
200,64,K,13,2113.24,2,59,48,0
600,30,M,11,2700,3,62,48,0
400,58,K,13,1454.91,2,40,48,0
200,70,K,13,907,1,232,48,1
300,73,M,13,1457,2,77,48,293
400,53,K,11,1300,0,32,48,12
400,44,M,12,1963.88,2,4,6,0
500,49,K,11,1800,3,51,48,2
281.29,60,K,11,1906.42,1,210,48,0
500,56,M,13,1900,3,148,48,0
600,61,K,13,1050,3,137,48,0
498.26,35,K,98,4000,3,18,48,2
900,61,K,13,1820,3,67,48,1
300,43,K,99,645.31,0,10,12,418
300,61,K,13,1399.99,1,13,48,1
400,67,K,13,1085,3,164,48,0
400,56,K,11,1730.13,1,191,48,0
300,59,K,13,1650,0,113,48,0
200,57,M,11,1500,2,393,48,294
300,63,M,11,1660,0,48,48,6
200,71,K,13,722.05,2,195,48,0
799.85,33,K,11,2050,1,27,48,11
200,54,M,12,988,0,7,12,271
200,26,M,12,1100,0,31,48,0
600,43,K,11,1443,3,32,48,1
200,27,M,17,728,3,98,48,0
300,54,M,11,2100,0,36,48,3
400,61,M,13,1503,2,164,48,13
500,61,K,13,1362,3,54,48,7
300,58,K,13,1244.77,3,37,48,1
200,51,K,11,932.34,3,393,48,0
300,28,K,11,901,2,38,48,0
200,56,K,17,1100,1,25,34,0
667.26,65,M,13,3040,3,199,48,11
500,37,K,11,2700,3,119,48,0
500,32,K,11,3100,3,119,48,0
299.97,44,M,11,3217,1,268,48,2039
300,65,K,13,1125,1,123,48,0
300,66,M,13,2110,3,99,48,0
300,70,K,13,865,3,126,48,3
300,26,K,12,1300,2,6,12,0
400,53,K,16,1362,3,27,48,0
300,22,K,12,1500,2,2,3,0
392.14,63,K,13,1668,3,89,48,2
200,57,K,11,983.97,1,76,48,4
200,31,K,12,980,3,8,11,3
500,36,K,11,1700,2,195,48,3
600,69,M,13,2015.55,1,109,48,429
200,65,M,13,1217,0,49,48,0
200,57,M,13,819,1,55,48,0
200,64,M,16,650.77,0,46,48,2038
600,51,M,12,2673.17,3,110,48,13
231.29,60,K,13,1107,1,13,48,2
600,59,K,13,1400,3,244,48,0
300,57,K,16,634.64,2,134,48,2
300,46,K,98,911,3,96,48,2
300,49,K,11,992.84,3,119,48,3
300,30,M,11,1000,3,55,48,2
450,68,M,13,2000,3,43,48,5
300,74,M,13,1180,0,138,48,0
400,65,K,13,1175,1,113,48,276
500,60,M,11,2100,2,185,48,1
200,37,K,12,1382,2,19,24,0
300,55,K,16,1072.89,3,120,48,0
200,41,K,11,1037.34,3,60,48,23
300,47,K,98,2200,3,23,48,0
200,47,K,11,1493.98,2,359,48,0
400,66,K,13,1062,0,160,48,2036
200,53,K,99,1100,0,51,48,0
376.37,61,M,13,1500,3,21,48,1
600,64,M,13,3100,0,136,48,2036
246.83,45,K,11,1344.9,2,44,48,7
200,50,M,16,1045,2,197,48,0
500,58,K,13,720,0,230,48,2
250,70,K,13,1016,1,187,48,0
200,31,K,12,1032.34,3,3,11,6
200,48,K,11,967.64,2,317,48,2
600,39,K,11,1800,2,50,48,13
800,56,K,13,580,3,117,48,3
296.54,46,K,12,1032,3,36,41,1
400,50,K,11,1577.42,0,203,48,3
400,60,K,16,1411,0,64,48,5
200,55,M,11,1460.17,0,59,48,1
500,61,M,11,2250.05,1,174,48,11
700,61,K,13,2066,3,127,48,2
600,51,K,11,3200,3,52,48,2
300,59,K,13,1658,3,27,48,4
300,52,K,11,1400,3,159,48,0
400,34,K,11,980.11,0,43,48,0
500,62,K,13,1900,3,86,48,1
400,68,K,16,980,3,129,48,1
600,33,K,12,1540,0,37,40,0
235.97,65,M,12,1100,3,20,36,7
600,56,M,11,3335,3,431,48,1
400,67,K,13,815,0,143,48,0
200,71,K,13,1185.33,3,223,48,4
200,52,M,12,1210,0,6,10,10
200,53,K,16,749.28,3,64,48,0
670,63,K,13,930,0,92,48,7
300,58,M,16,1528,1,374,48,312
350,56,K,17,547.89,0,54,48,6
300,71,M,13,1426,3,76,48,0
200,66,K,13,1031,1,120,48,0
400,64,K,13,840,1,112,48,7
300,45,M,12,670,3,8,12,1
800,62,K,13,3700,3,25,48,0
300,63,K,13,1100,0,104,48,0
400,65,M,16,1473.04,0,165,48,0
350,78,M,13,1519,0,253,48,0
200,37,K,12,599.03,2,19,19,2
200,56,K,98,980,2,9,48,0
200,74,K,13,1026,3,247,48,2
218.32,61,K,13,975,3,27,48,3
393.99,59,M,11,2947,3,53,48,0
694,38,K,11,1900,3,207,48,12
300,72,K,13,2100,0,160,48,0
800,35,M,12,1500,0,32,36,4
300,66,M,16,1151,0,360,48,0
277.34,39,K,11,1770,3,86,48,0
700,61,K,13,1977,1,54,48,3
200,63,M,13,1287.66,2,95,48,0
300,46,K,11,900,3,92,48,0
300,73,M,13,960,3,139,48,1
300,27,M,12,1800,0,34,48,2029
200,58,K,13,1083.23,1,96,48,0
800,55,K,13,3440,3,50,48,1
427.09,43,M,98,3178,3,200,48,11
400,71,M,13,1772.53,0,279,48,0
200,68,K,13,803.86,3,157,48,0
300,60,K,13,1026,3,54,48,23
297.69,63,K,13,1014,1,182,48,11
400,63,M,13,1193.65,2,8,48,0
285.97,38,K,98,1200,3,45,48,0
328.32,50,K,12,1000,3,31,35,0
328,60,M,12,1000,3,11,14,0
200,54,K,11,1400,3,116,48,0
200,18,M,12,1286,0,1,2,2029
600,29,M,12,1300,3,26,42,4
300,54,M,17,798.8,3,148,48,4
300,63,K,13,917,1,75,48,2
377.69,40,K,11,1087,2,237,48,18
500,38,M,11,2470,0,65,48,3
200,63,M,13,1538,3,100,48,8
300,39,M,11,1300,3,44,48,0
200,60,K,13,1635,3,119,48,1
300,42,K,99,2290.55,0,17,21,0
200,79,K,13,1167.94,0,368,48,0
400,63,K,13,1233,2,122,48,0
500,64,M,13,1530,0,34,48,0
400,62,M,16,1313.41,3,27,48,0
300,59,M,13,3900,0,113,48,1
521.49,62,K,13,1525.46,3,35,48,2
200,62,M,13,1162,3,220,48,0
250,62,M,99,685,3,4,4,2027
500,70,K,13,1200,3,118,48,1
200,58,K,16,634,2,50,48,0
800,55,K,16,2300,4,62,48,0
300,39,K,12,1027,3,8,48,3
262.81,61,K,13,5100,3,27,48,0
400,54,K,11,2800,3,59,48,0
500,45,K,11,3000,3,92,48,3
500,62,K,13,714,4,221,48,1
600,68,K,13,2120,3,118,48,0
400,65,K,13,1013.74,3,112,48,0
200,61,K,13,984,2,10,48,1
400,60,K,13,1425,1,78,48,0
200,67,K,13,720.19,1,92,48,4
281.29,55,K,12,1350,3,21,25,1
500,73,K,13,951,3,161,48,4
300,31,M,98,2000,0,13,48,0
400,58,K,11,1500,2,84,48,0
700,33,K,11,2200,0,36,48,0
200,73,K,13,866.46,0,194,48,0
473,33,K,11,1400,0,100,48,0
300,33,M,11,2100,0,63,48,67
700,28,M,12,1800,3,10,10,7
300,55,K,12,1009.34,2,28,48,0
300,49,M,12,1042,0,4,4,1
200,66,K,13,1428.55,3,137,48,4
300,70,K,13,1000,0,63,48,0
400,40,K,12,660,3,11,38,2
200,75,K,13,616,3,245,48,6
496.83,31,K,11,1600,3,13,48,4
300,65,M,13,1611,1,140,48,0
367.31,61,K,13,1684,3,19,48,3
200,58,K,13,1500,3,45,48,3
200,53,K,16,1740,0,113,48,1
400,47,K,11,3170,3,284,48,0
700,65,K,13,930,4,130,48,0
426.66,47,M,12,1574.45,2,30,36,0
500,72,K,13,640,0,138,48,1
400,62,K,13,1474.55,2,64,48,0
600,47,K,12,830.46,2,44,48,4
357.31,40,M,11,1261.98,3,35,48,0
265.58,62,K,13,1189,3,69,48,0
350,61,M,16,837,2,230,48,0
900,58,K,17,684,3,189,48,0
200,75,K,13,965,3,244,48,1
200,57,K,16,703,3,25,48,8
200,19,M,99,750,3,3,6,0
600,54,K,12,1675,3,8,12,0
400,54,K,16,1045.6,4,11,48,0
400,66,K,13,1137.19,3,95,48,0
300,35,K,12,1200,3,8,14,0
200,46,K,12,990.34,2,55,48,2
327,52,K,11,2065.98,3,178,48,1
400,38,K,11,800.51,0,19,48,11
400,57,K,13,1817.24,2,17,48,1
300,77,K,13,1239,3,269,48,0
300,25,M,12,1400,2,11,33,1
200,57,M,16,763.38,3,210,48,46
300,61,K,13,997,3,78,48,2
515.96,58,K,13,1801.41,0,37,48,9
241.15,54,M,12,1030,3,8,24,2022
300,33,M,11,1800,3,164,48,1
300,23,M,11,1400,0,24,48,0
300,45,M,11,2100,2,49,48,11
500,60,K,13,1212,3,53,48,1
700,75,M,13,2098,3,196,48,211
400,47,M,12,600,4,8,27,0
200,49,M,11,1400,3,13,48,0
662.81,52,M,11,3200,3,188,48,0
500,60,K,13,1000,3,67,48,0
200,72,K,13,730,2,560,48,1
200,65,K,13,802.83,3,200,48,0
369.53,72,K,13,3541.9,1,126,48,24
600,32,K,11,1290,3,18,48,2
300,60,M,11,3000,4,211,48,2
400,43,M,11,2284.23,1,299,48,2
200,69,K,16,959.6,3,114,48,0
300,57,K,11,1680,3,384,48,2
500,61,M,11,1250,0,64,48,16
800,60,M,11,1000,3,62,48,3
600,47,K,11,1700,3,88,48,6
409.15,65,K,16,892,2,200,48,0
294.37,52,K,12,1050,2,33,36,0
300,62,K,13,1130,3,102,48,0
300.4,56,K,11,1172.2,3,36,48,0
600,41,K,98,5000,2,83,48,5
300,54,M,11,1700,3,38,48,1
300,57,K,13,611,2,138,48,1
500,53,M,11,1320,3,341,48,0
426.61,49,K,11,2470,4,353,48,0
200,57,M,13,12220,2,70,48,4
400,53,M,11,4000,4,9,48,0
300,64,K,16,1132,0,96,48,1
200,20,M,17,985,4,12,13,0
717.02,64,M,13,2010,2,138,48,0
600,49,K,11,2800,3,318,48,1
500,70,K,13,729.03,4,256,48,0
250,40,M,12,700,3,8,24,2019
200,29,M,99,1393.85,2,4,4,6
789.27,63,K,13,860,0,79,48,1
300,46,M,13,1688.82,2,98,48,7
200,52,K,11,1617.68,2,84,48,215
300,35,M,11,1058,0,13,48,0
500,72,M,13,1700,3,13,48,3
454,38,K,11,2927,2,200,48,0
500,35,M,11,2200,0,84,48,12
300,26,M,11,1459,1,8,48,6
500,60,K,13,936,1,30,48,0
400,61,K,13,1090.14,3,74,48,2
200,67,M,16,1600,2,12,48,0
200,74,K,13,1026,4,246,48,0
416.61,52,M,11,2011,0,210,48,13
600,55,M,16,588,0,421,48,2
300,58,K,13,1240,0,69,48,2
400,61,K,13,1170,2,77,48,0
300,48,K,11,1077.49,3,371,48,2
200,26,K,12,1100,0,14,18,4
200,52,K,16,685,0,40,48,0
300,49,M,13,3900,4,29,48,0
300,65,K,13,1350,2,110,48,0
387.31,44,M,12,1952.35,3,3,12,0
200,53,M,11,1300,0,451,48,0
400,56,M,11,1842.86,2,7,48,0
